Date,Card,No,SetName,RawUSD,PSA10USD,Score,Notes
2025-01-01,Pikachu ex,001,Surging Sparks,50.00,130.00,55.00,Initial tracking
2025-01-01,Charizard ex,025,Surging Sparks,280.00,900.00,595.00,High value card
2025-01-01,Latias ex,189,Surging Sparks,90.00,285.00,170.00,Special Illustration
2025-01-08,Pikachu ex,001,Surging Sparks,48.00,135.00,62.00,Price increase
2025-01-08,Charizard ex,025,Surging Sparks,265.00,875.00,585.00,Slight decrease
2025-01-08,Latias ex,189,Surging Sparks,88.00,290.00,177.00,Stable
2025-01-15,Pikachu ex,001,Surging Sparks,45.50,125.00,54.50,Market correction
2025-01-15,Charizard ex,025,Surging Sparks,250.00,850.00,575.00,Continued decline
2025-01-15,Latias ex,189,Surging Sparks,85.00,275.00,165.00,Small drop
2025-01-22,Pikachu ex,001,Surging Sparks,42.00,140.00,73.00,Raw drop PSA10 rise
2025-01-22,Charizard ex,025,Surging Sparks,220.00,780.00,535.00,Major correction
2025-01-22,Latias ex,189,Surging Sparks,95.00,325.00,205.00,Strong growth
2025-01-29,Pikachu ex,001,Surging Sparks,40.00,142.00,77.00,Continued trend
2025-01-29,Charizard ex,025,Surging Sparks,205.00,740.00,510.00,Stabilizing
2025-01-29,Latias ex,189,Surging Sparks,110.00,385.00,250.00,Surge continues
2025-02-01,Pikachu ex,001,Surging Sparks,38.00,145.00,82.00,Peak efficiency
2025-02-01,Charizard ex,025,Surging Sparks,195.00,725.00,505.00,Bottom reached
2025-02-01,Latias ex,189,Surging Sparks,125.00,425.00,275.00,Peak price
2025-02-01,Milotic ex,150,Surging Sparks,15.00,65.00,25.00,New entry
